Gender,Married,Dependents,Education,Self_Employed,Loan_Amount_Term,Credit_History,Loan_Status,TotalIncome,Loan_to_Income_Ratio,EMI,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban,Income_Per_Dependent,Loan_Term_Category,High_Risk_Flag
1,0,0,1,0,360.0,1.0,1,5849.0,0.0218840827491878,0.3555555555555555,0,0,1,5849.0,Standard,0
1,1,1,1,0,360.0,1.0,0,6091.0,0.0210146117222131,0.3555555555555555,1,0,0,3045.5,Standard,0
1,1,0,1,1,360.0,1.0,1,3000.0,0.022,0.1833333333333333,0,0,1,3000.0,Standard,0
1,1,0,0,0,360.0,1.0,1,4941.0,0.0242865816636308,0.3333333333333333,0,0,1,4941.0,Standard,0
1,0,0,1,0,360.0,1.0,1,6000.0,0.0235,0.3916666666666666,0,0,1,6000.0,Standard,0
1,1,2,1,1,360.0,1.0,1,9613.0,0.0277748881722667,0.7416666666666667,0,0,1,3204.3333333333335,Standard,0
1,1,0,0,0,360.0,1.0,1,3849.0,0.0246817355157183,0.2638888888888889,0,0,1,3849.0,Standard,0
1,1,3,1,0,360.0,0.0,0,5540.0,0.0285198555956678,0.4388888888888889,0,1,0,1385.0,Standard,1
1,1,2,1,0,360.0,1.0,1,5532.0,0.0303687635574837,0.4666666666666667,0,0,1,1844.0,Standard,1
1,1,1,1,0,360.0,1.0,0,12555.375,0.0146583224830946,0.9694444444444444,0,1,0,6277.6875,Standard,0
1,1,2,1,0,360.0,1.0,1,3900.0,0.0179487179487179,0.1944444444444444,0,0,1,1300.0,Standard,0
1,1,2,1,0,360.0,1.0,1,4340.0,0.0251152073732718,0.3027777777777777,0,0,1,1446.6666666666667,Standard,0
1,1,2,1,0,360.0,1.0,1,11179.0,0.0178906878969496,0.5555555555555556,0,0,1,3726.3333333333335,Standard,0
1,0,0,1,0,360.0,1.0,0,4693.0,0.0242914979757085,0.3166666666666666,1,0,0,4693.0,Standard,0
1,1,2,1,0,120.0,1.0,1,2385.0,0.0071278825995807,0.1416666666666666,0,0,1,795.0,Short,0
1,0,0,1,0,360.0,1.0,1,4950.0,0.0252525252525252,0.3472222222222222,0,0,1,4950.0,Standard,0
1,0,1,0,0,240.0,1.0,1,3596.0,0.0278086763070077,0.4166666666666667,0,0,1,1798.0,Standard,0
0,0,0,1,0,360.0,0.0,0,3510.0,0.0216524216524216,0.2111111111111111,0,0,1,3510.0,Standard,1
1,1,0,0,0,360.0,1.0,0,4887.0,0.0272150603642316,0.3694444444444444,1,0,0,4887.0,Standard,0
1,1,0,1,0,360.0,1.0,1,6100.0,0.0188524590163934,0.3194444444444444,0,0,1,6100.0,Standard,0
1,1,0,0,0,360.0,0.0,0,7660.0,0.0135770234986945,0.2888888888888888,0,0,1,7660.0,Standard,1
1,1,1,1,0,360.0,1.0,1,11580.0,0.0272020725388601,0.875,0,0,1,5790.0,Standard,0
1,1,0,0,0,360.0,0.0,0,4511.0,0.025714919086677,0.3222222222222222,0,1,0,4511.0,Standard,1
1,1,2,0,0,360.0,0.0,0,5282.0,0.0212040893600908,0.3111111111111111,1,0,0,1760.6666666666667,Standard,1
1,1,1,1,0,360.0,1.0,0,6642.0,0.0227341162300511,0.4194444444444444,0,1,0,3321.0,Standard,0
1,1,0,1,1,360.0,1.0,1,9560.0,0.0199790794979079,0.5305555555555556,0,1,0,9560.0,Standard,0
1,1,0,1,0,360.0,1.0,1,5052.0,0.0241488519398258,0.3388888888888889,0,1,0,5052.0,Standard,0
1,1,2,0,0,360.0,1.0,1,5266.0,0.0208887200911507,0.3055555555555556,0,0,1,1755.3333333333333,Standard,0
1,0,0,0,0,360.0,1.0,0,1442.0,0.0242718446601941,0.0972222222222222,0,0,1,1442.0,Standard,0
0,0,2,1,0,360.0,1.0,1,5833.0,0.0205726041488085,0.3333333333333333,0,1,0,1944.3333333333333,Standard,0
1,1,1,1,0,360.0,1.0,0,7535.0,0.0266755142667551,0.5583333333333333,0,0,1,3767.5,Standard,0
1,0,0,1,0,360.0,1.0,0,3167.0,0.0233659614777391,0.2055555555555555,0,0,1,3167.0,Standard,0
1,0,1,1,1,360.0,1.0,0,4692.0,0.0225916453537936,0.2944444444444444,1,0,0,2346.0,Standard,0
1,1,0,1,0,360.0,1.0,1,5167.0,0.0220630927036965,0.3166666666666666,0,1,0,5167.0,Standard,0
1,0,3,1,0,360.0,1.0,0,12555.375,0.0206451612903225,0.8888888888888888,1,0,0,3138.84375,Standard,0
1,1,0,1,0,360.0,1.0,1,4342.0,0.0294795025333947,0.3555555555555555,0,0,1,4342.0,Standard,1
1,1,0,1,0,360.0,0.0,0,3158.0,0.0316656111462951,0.2777777777777778,0,0,1,3158.0,Standard,1
0,1,0,1,0,360.0,1.0,1,5126.0,0.0280920795942255,0.4,0,1,0,5126.0,Standard,0
1,0,0,1,0,360.0,1.0,1,11376.0,0.0161744022503516,0.5111111111111111,0,0,1,11376.0,Standard,0
1,0,0,0,0,360.0,1.0,1,5416.0,0.0203101920236336,0.3055555555555556,0,1,0,5416.0,Standard,0
1,0,0,1,0,360.0,1.0,0,3600.0,0.0222222222222222,0.2222222222222222,0,0,1,3600.0,Standard,0
1,0,0,1,0,360.0,1.0,1,3013.0,0.0155990706936608,0.1305555555555555,0,0,1,3013.0,Standard,0
1,1,0,1,0,360.0,1.0,1,2400.0,0.03125,0.2083333333333333,0,0,1,2400.0,Standard,1
1,1,0,1,0,360.0,1.0,1,6277.0,0.0213477776007646,0.3722222222222222,0,1,0,6277.0,Standard,0
1,1,0,0,1,360.0,1.0,1,4695.0,0.0204472843450479,0.2666666666666666,0,0,1,4695.0,Standard,0
0,0,0,1,0,360.0,1.0,1,3410.0,0.0258064516129032,0.2444444444444444,0,0,1,3410.0,Standard,0
1,1,1,1,0,360.0,1.0,1,5649.0,0.0077889892016286,0.1222222222222222,0,0,1,2824.5,Standard,0
1,1,0,1,0,360.0,1.0,1,5821.0,0.0247380175227624,0.4,0,0,1,5821.0,Standard,0
0,1,0,1,0,360.0,0.0,0,6085.0,0.019720624486442,0.3333333333333333,0,0,1,6085.0,Standard,1
0,0,0,1,0,360.0,1.0,1,6275.0,0.0229482071713147,0.4,0,1,0,6275.0,Standard,0
0,1,0,0,0,360.0,1.0,1,3572.0,0.0279955207166853,0.2777777777777778,0,1,0,3572.0,Standard,0
0,0,0,1,0,360.0,1.0,1,3086.0,0.0388852883992222,0.3333333333333333,0,1,0,3086.0,Standard,1
0,0,0,1,0,360.0,1.0,0,4230.0,0.0264775413711583,0.3111111111111111,0,1,0,4230.0,Standard,0
1,1,2,1,0,360.0,1.0,0,4616.0,0.0290294627383015,0.3722222222222222,0,0,1,1538.6666666666667,Standard,1
0,1,1,1,1,360.0,0.0,0,11500.0,0.0248695652173913,0.7944444444444444,0,0,1,5750.0,Standard,1
1,1,2,1,0,360.0,1.0,1,3875.0,0.0250322580645161,0.2694444444444444,0,1,0,1291.6666666666667,Standard,0
1,1,0,1,0,360.0,1.0,1,3723.0,0.0257856567284448,0.2666666666666666,0,1,0,3723.0,Standard,0
1,1,0,1,0,360.0,1.0,0,5566.0,0.0242544017247574,0.375,1,0,0,5566.0,Standard,0
1,1,1,1,0,360.0,1.0,1,10330.0,0.0174249757986447,0.5,0,0,1,5165.0,Standard,0
1,1,2,0,0,360.0,1.0,1,6216.0,0.0231660231660231,0.4,0,0,1,2072.0,Standard,0
1,1,0,1,0,360.0,1.0,1,6296.0,0.0190597204574332,0.3333333333333333,0,0,1,6296.0,Standard,0
1,1,3,1,0,360.0,1.0,1,3029.0,0.0326840541432816,0.275,0,0,1,757.25,Standard,1
1,1,0,0,1,180.0,0.0,0,6058.0,0.027236711786068,0.9166666666666666,1,0,0,6058.0,Short,1
1,1,1,1,0,360.0,0.0,0,4945.0,0.0258847320525783,0.3555555555555555,1,0,0,2472.5,Standard,1
